name,details,original_price,discount,final_price,rating
HP 15 (i3 14th Gen) Intel Core 3 100U,(8 GB/512 GB SSD/Windows 11 Home) 15,50843.0,15% off,42990.0,4.2
DELL 14 Plus Next Gen AI PC Intel Core Ultra 5 226V,(16 GB/512 GB SSD/Windows 11 Home) DB14250 Thin ...,98040.0,20% off,77990.0,4.3
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 3 Quad Core 7320U",(16 GB/512 GB...,37990.0,5% off,35990.0,4.2
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,(8 GB/512 GB SSD/Windows 11 Home) E1504FA,50990.0,23% off,38990.0,4.3
ASUS Chromebook CX14 Intel Celeron Dual Core N4500,(4 GB/128 GB EMMC Storage/Chrome OS) CX1405CKA,23900.0,12% off,20796.0,3.8
ASUS ExpertBook P1 (i5 14th Gen) Intel Core 5 210H,(16 GB/512 GB SSD/Windows 11 Home) P1503CVA,89990.0,37% off,55990.0,4.3
HP Intel Core i5 13th Gen 1334U,(12 GB/512 GB SSD/Windows 11 Home) 15,68417.0,24% off,51990.0,4.2
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,(8 GB/512 GB SSD/Windows 11 Home) E1504FA,43990.0,18% off,35990.0,4.3
Acer Aspire Intel Core i3 13th Gen 1305U,(8 GB/512 GB SSD/Windows 11 Home) AL15,42990.0,9% off,38938.0,4.0
HP 255 R G10 AMD Ryzen 5 Hexa Core AMD Ryzen 5 7535U Hexa Core,(8 GB/512 GB SSD/Windows 11 Home) 255...,60000.0,35% off,38999.0,3.7
DELL 15 Intel Core i5 13th Gen,(16 GB/512 GB SSD/Windows 11 Home) Vostro 3530 RPL Laptop,64874.0,12% off,56990.0,4.2
DELL G15 Intel Core i5 13th Gen 13450HX,(16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,101709.0,23% off,77787.0,4.2
ASUS Chromebook CX14 Intel Celeron Dual Core N4500,(4 GB/64 GB EMMC Storage/Chrome OS) CX1405CKA,21990.0,31% off,14999.0,3.8
Acer Aspire 3 Intel Celeron Dual Core,(8 GB/512 GB SSD/Windows 11 Home) A311,35999.0,27% off,25990.0,3.8
Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U,(16 GB/512 GB SSD/Windows 11 Home...,70990.0,42% off,40990.0,4.1
Acer Aspire 3 Intel Celeron Dual Core,(8 GB/256 GB SSD/Windows 11 Home) A311,29999.0,5% off,28492.0,3.8
Lenovo LOQ Essential Intel Core i7 12650HX,(16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,100990.0,20% off,79990.0,4.3
DELL 14 Plus Intel Core Ultra 7 256V,(16 GB/512 GB SSD/Windows 11 Home) DB14250 Thin and Light Lapto...,116859.0,12% off,101990.0,4.9
HP Intel Celeron Dual Core N4500,(8 GB/512 GB SSD/Windows 11 Home) 14s,31933.0,6% off,29990.0,3.7
Acer Aspire Lite Intel Core i3 12th Gen 1215U,(16 GB/512 GB SSD/Windows 11 Home) AL15,55990.0,28% off,39990.0,4.1
DELL 14 Next Gen AI PC Intel Core Ultra 5 226V,(16 GB/512 GB SSD/Windows 11 Home) DB14250 / 14 Plus ...,102656.0,11% off,90490.0,4.3
ASUS ExpertBook P1 (i7 14th Gen) Intel Core 7 240H,(16 GB/512 GB SSD/Windows 11 Home) P1503CVA,99990.0,32% off,67990.0,4.6
Primebook 2 Pro (2025) in,Built AI MediaTek Helio G99 (MT8781),29990.0,33% off,19990.0,4.3
HP 15s Intel Core i3 13th Gen 1315U,(8 GB/512 GB SSD/Windows 11 Home) 15,50903.0,19% off,40990.0,4.1
Acer Aspire 3 Intel Celeron Dual Core,(8 GB/128 GB SSD/Windows 11 Home) A311,33999.0,17% off,27990.0,3.8
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 1342...",,90990.0,37% off,56990.0,4.4
HP 15 (i3 14th Gen) Intel Core 3 100U,(8 GB/512 GB SSD/Windows 11 Home) 15,50843.0,15% off,42990.0,4.2
DELL 14 Plus Next Gen AI PC Intel Core Ultra 5 226V,(16 GB/512 GB SSD/Windows 11 Home) DB14250 Thin ...,98040.0,20% off,77990.0,4.3
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U,(8 GB/512 GB SSD/Windows 11 Home) NP750XGJ,78189.0,36% off,49790.0,4.4
