details,discount,final_price,name,original_price,rating
(16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,12% off,49990.0,DELL 15 AMD Ryzen 5 Hexa Core 7530U,56925.0,4.3
(16 GB/512 GB SSD/Windows 11 Home) DB14250 Thin ...,20% off,77990.0,DELL 14 Plus Next Gen AI PC Intel Core Ultra 5 226V,98040.0,4.3
(16 GB/512 GB...,5% off,35990.0,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 3 Quad Core 7320U",37990.0,4.2
(8 GB/512 GB SSD/Windows 11 Home) E1504FA,23% off,38990.0,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,50990.0,4.3
(12 GB/512 GB SSD/Windows 11 Home) 15,24% off,51990.0,HP Intel Core i5 13th Gen 1334U,68417.0,4.2
(16 GB/512 GB SSD/Windows 11 Home) P1503CVA,37% off,55990.0,ASUS ExpertBook P1 (i5 14th Gen) Intel Core 5 210H,89990.0,4.3
(8 GB/512 GB S...,18% off,35990.0,ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U,43990.0,4.2
(8 GB/512 GB SSD/Windows 11 Home) E1504FA,18% off,35990.0,ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,43990.0,4.3
(8 GB/512 GB SSD/Windows 11 Home) 255...,35% off,38999.0,HP 255 R G10 AMD Ryzen 5 Hexa Core AMD Ryzen 5 7535U Hexa Core,60000.0,3.7
(8 GB/512 GB SSD/Windows 11 Home) A311,27% off,25990.0,Acer Aspire 3 Intel Celeron Dual Core,35999.0,3.8
(16 GB/512 GB SSD/Windows 11 Home) 14,19% off,76990.0,HP 14 AI PC Intel Core Ultra 7 155H,95687.0,4.2
(16 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light...,6% off,68990.0,DELL Inspiron 15 Intel Core i7 13th Gen 1355U,73911.0,4.3
(16 GB/512 GB SSD/Windows 11 Home...,42% off,40990.0,Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U,70990.0,4.1
(8 GB/256 GB SSD/Windows 11 Home) A311,5% off,28492.0,Acer Aspire 3 Intel Celeron Dual Core,29999.0,3.8
(8 GB/512 GB SSD/Windows 11 Home) 14s,6% off,29990.0,HP Intel Celeron Dual Core N4500,31933.0,3.7
(16 GB/512 GB SSD/Windows 11 Home) AL15,28% off,39990.0,Acer Aspire Lite Intel Core i3 12th Gen 1215U,55990.0,4.1
(16 GB/512 GB SSD/Windows 11 Home) Vostro 3530 RPL Laptop,12% off,56990.0,DELL 15 Intel Core i5 13th Gen,64874.0,4.2
(16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,23% off,77787.0,DELL G15 Intel Core i5 13th Gen 13450HX,101709.0,4.2
Built AI MediaTek Helio G99 (MT8781),33% off,19990.0,Primebook 2 Pro (2025) in,29990.0,4.3
(16 GB/512 GB SSD/Windows 11 Home) 15,15% off,46990.0,HP 15s AMD Ryzen 5 Quad Core 7520U,55691.0,4.3
(16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,20% off,79990.0,Lenovo LOQ Essential Intel Core i7 12650HX,100990.0,4.3
(16 GB/512 GB SSD/Windows 11 Home) DB14250 Thin and Light Lapto...,12% off,101990.0,DELL 14 Plus Intel Core Ultra 7 256V,116859.0,4.9
(4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,7% off,14999.0,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298.0,4.0
(8 GB/512 GB SSD/Windows 11 Home) 15s,15% off,41140.0,HP 15s AMD Ryzen 3 Quad Core 5300U,48900.0,4.3
